Frequency,Amplitude,Phase
1.295143e-02,3.734356e+00,3.761922e-01
1.301370e-02,2.587414e+01,3.005097e+00
1.307597e-02,2.877506e+01,2.820051e+00
1.313823e-02,9.390682e+00,-2.88E+00
1.320050e-02,2.874388e+01,2.180980e+00
1.326276e-02,1.492554e+01,2.135553e+00
1.332503e-02,9.635474e+00,1.321520e+00
1.338730e-02,1.870896e+01,-2.68E+00
1.344956e-02,1.687005e+01,2.831975e+00
1.351183e-02,2.160915e+01,7.459141e-01
1.357410e-02,1.129416e+01,7.625918e-01
1.363636e-02,8.352866e+00,1.542826e+00
1.369863e-02,1.814221e+01,1.309071e+00
1.376090e-02,1.433922e+01,2.130519e+00
1.382316e-02,2.651290e+01,1.815872e+00
1.388543e-02,1.221932e+01,2.516216e+00
1.394770e-02,8.216495e+00,6.011669e-01
1.400996e-02,1.609600e+01,6.998620e-01
1.407223e-02,4.146223e+01,2.358027e+00
1.413450e-02,1.482877e+01,8.096478e-01
1.419676e-02,1.014634e+01,3.815824e-01
1.425903e-02,1.548715e+01,2.964444e+00
1.432130e-02,1.782975e+01,3.006919e+00
1.438356e-02,2.264740e+01,1.806381e+00
1.444583e-02,1.595796e+01,-1.78E-02
1.450809e-02,2.710375e+01,1.621639e+00
1.457036e-02,1.576895e+00,1.251190e-01
1.463263e-02,2.094888e+01,8.804417e-01
1.469489e-02,4.927164e+00,-1.79E-01
1.475716e-02,1.917566e+01,1.901924e+00
1.481943e-02,7.043670e+00,2.152017e+00
1.488169e-02,1.211582e+01,1.425577e+00
1.494396e-02,1.479103e+01,2.575361e+00
1.500623e-02,1.167495e+01,-9.17E-01
1.506849e-02,3.721108e+00,-1.59E+00
1.513076e-02,3.246766e+01,2.055443e+00
1.519303e-02,1.550859e+01,1.627812e+00
1.525529e-02,3.313373e+01,1.936423e+00
1.531756e-02,2.453776e+01,3.170433e-01
1.537983e-02,2.929279e+01,4.501938e-01
1.544209e-02,1.975734e+01,1.304148e+00
1.550436e-02,1.642820e+01,3.103783e+00
1.556663e-02,1.353793e+01,2.324565e+00
1.562889e-02,1.072881e+00,1.288609e+00
1.569116e-02,1.152975e+01,-1.23E+00
1.575342e-02,5.868728e+00,-1.98E+00
1.581569e-02,1.095849e+01,-1.69E+00
1.587796e-02,1.922215e+01,7.656908e-01
1.594022e-02,2.082262e+01,2.392333e+00
1.600249e-02,4.991029e+00,-7.27E-01
1.606476e-02,1.310629e+01,1.729082e+00
1.612702e-02,1.965029e+01,1.480537e+00
1.618929e-02,1.464961e+01,3.074866e+00
1.625156e-02,1.639565e+01,7.891099e-01
1.631382e-02,1.231831e+01,2.226792e+00
1.637609e-02,4.796394e+00,5.778721e-01
1.643836e-02,5.357337e+00,-3.93E-01
1.650062e-02,1.525998e+01,-2.58E+00
1.656289e-02,7.473526e+00,1.750235e+00
